program,site,area,tool_id,task_id,task_name,workstream,owner,planned_start,planned_finish,actual_finish,status,gate,depends_on,risk_level,notes
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10147,Network VLAN approved,IT/Network,EHS,2025-12-05,2025-12-16,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10148,Exhaust hookup,Facilities,Facilities Eng,2025-12-08,2025-12-18,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10149,CDA hookup,Facilities,Controls Eng,2025-12-11,2025-12-18,2025-12-21,Done,Install,Layout approval,High,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10150,DI water hookup,Facilities,Mech Eng,2025-12-14,2025-12-19,2025-12-20,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10151,Tool delivered to dock,SupplyChain,Mech Eng,2025-12-17,2025-12-19,2025-12-17,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10152,Rigging scheduled,SupplyChain,EHS,2025-12-20,2025-12-24,,In Progress,Install,Tool delivered to dock,Medium,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10153,Install tool in bay,Hardware,EHS,2025-12-23,2025-12-29,2025-12-27,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10154,EHS walkdown,EHS,Controls Eng,2025-12-26,2026-01-02,,In Progress,Install,Install tool in bay,High,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10155,PLC flash + config,Controls,IT/Network,2025-12-29,2026-01-05,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10156,IO checkout,Controls,Supplier Mgmt,2026-01-01,2026-01-03,,Blocked,PowerOn,PLC flash + config,Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10157,Safety interlock validation,Controls,EHS,2026-01-04,2026-01-10,,In Progress,PowerOn,IO checkout,Medium,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10158,Dry run cycle,Controls,IT/Network,2026-01-07,2026-01-11,,Blocked,Comm,Safety interlock validation,Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10159,Process baseline run,Hardware,Controls Eng,2026-01-10,2026-01-13,2026-01-16,Done,Comm,Dry run cycle,Medium,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10160,SAT dry-run,Hardware,Mech Eng,2026-01-13,2026-01-16,2026-01-15,Done,SAT,"Process baseline run,EHS walkdown",Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10161,SAT acceptance,Hardware,Supplier Mgmt,2026-01-16,2026-01-23,,In Progress,SAT,SAT dry-run,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10162,Layout approval,Facilities,Controls Eng,2025-11-06,2025-11-17,2025-11-22,Done,Install,,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10163,Civil/anchoring check,Facilities,Facilities Eng,2025-11-09,2025-11-18,2025-11-20,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10164,Power drop install,Facilities,Facilities Eng,2025-11-12,2025-11-21,2025-11-28,Done,Install,Layout approval,High,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10165,Network VLAN approved,IT/Network,Facilities Eng,2025-11-15,2025-11-22,2025-11-21,Done,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10166,Exhaust hookup,Facilities,Supplier Mgmt,2025-11-18,2025-11-26,2025-11-30,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10167,CDA hookup,Facilities,IT/Network,2025-11-21,2025-11-26,2025-12-02,Done,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10168,DI water hookup,Facilities,Mech Eng,2025-11-24,2025-11-26,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10169,Tool delivered to dock,SupplyChain,Controls Eng,2025-11-27,2025-12-02,2025-12-06,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10170,Rigging scheduled,SupplyChain,Supplier Mgmt,2025-11-30,2025-12-07,2025-12-13,Done,Install,Tool delivered to dock,Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10171,Install tool in bay,Hardware,Mech Eng,2025-12-03,2025-12-09,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10172,EHS walkdown,EHS,Controls Eng,2025-12-06,2025-12-17,2025-12-23,Done,Install,Install tool in bay,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10173,PLC flash + config,Controls,IT/Network,2025-12-09,2025-12-19,2025-12-16,Done,PowerOn,"Install tool in bay,Network VLAN approved",Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10174,IO checkout,Controls,Facilities Eng,2025-12-12,2025-12-20,,In Progress,PowerOn,PLC flash + config,Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10175,Safety interlock validation,Controls,Supplier Mgmt,2025-12-15,2025-12-23,,In Progress,PowerOn,IO checkout,Medium,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10176,Dry run cycle,Controls,Controls Eng,2025-12-18,2025-12-28,,In Progress,Comm,Safety interlock validation,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10177,Process baseline run,Hardware,Supplier Mgmt,2025-12-21,2025-12-26,,Blocked,Comm,Dry run cycle,Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10178,SAT dry-run,Hardware,Supplier Mgmt,2025-12-24,2025-12-29,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
Phoenix-ETD,Fremont,Bay-7,T-PH-10,FT-10179,SAT acceptance,Hardware,Facilities Eng,2025-12-27,2025-12-29,,Blocked,SAT,SAT dry-run,Medium,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10180,Layout approval,Facilities,Supplier Mgmt,2025-10-03,2025-10-09,2025-10-10,Done,Install,,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10181,Civil/anchoring check,Facilities,Facilities Eng,2025-10-06,2025-10-17,2025-10-23,Done,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10182,Power drop install,Facilities,Controls Eng,2025-10-09,2025-10-16,,In Progress,Install,Layout approval,High,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10183,Network VLAN approved,IT/Network,Controls Eng,2025-10-12,2025-10-20,,In Progress,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10184,Exhaust hookup,Facilities,Facilities Eng,2025-10-15,2025-10-21,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10185,CDA hookup,Facilities,Facilities Eng,2025-10-18,2025-10-24,2025-10-27,Done,Install,Layout approval,High,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10186,DI water hookup,Facilities,Supplier Mgmt,2025-10-21,2025-10-31,2025-11-06,Done,Install,Layout approval,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10187,Tool delivered to dock,SupplyChain,Controls Eng,2025-10-24,2025-10-27,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10188,Rigging scheduled,SupplyChain,Controls Eng,2025-10-27,2025-10-31,2025-10-28,Done,Install,Tool delivered to dock,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10189,Install tool in bay,Hardware,Supplier Mgmt,2025-10-30,2025-11-02,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10190,EHS walkdown,EHS,Supplier Mgmt,2025-11-02,2025-11-05,,In Progress,Install,Install tool in bay,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10191,PLC flash + config,Controls,Supplier Mgmt,2025-11-05,2025-11-11,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Medium,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10192,IO checkout,Controls,Mech Eng,2025-11-08,2025-11-19,,Blocked,PowerOn,PLC flash + config,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10193,Safety interlock validation,Controls,EHS,2025-11-11,2025-11-15,,In Progress,PowerOn,IO checkout,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10194,Dry run cycle,Controls,EHS,2025-11-14,2025-11-16,2025-11-21,Done,Comm,Safety interlock validation,Medium,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10195,Process baseline run,Hardware,Mech Eng,2025-11-17,2025-11-25,2025-11-30,Done,Comm,Dry run cycle,Low,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10196,SAT dry-run,Hardware,IT/Network,2025-11-20,2025-11-28,2025-12-05,Done,SAT,"Process baseline run,EHS walkdown",Medium,
Orion-Ramp,Hillsboro,Bay-4,T-OR-01,FT-10197,SAT acceptance,Hardware,Supplier Mgmt,2025-11-23,2025-11-29,,In Progress,SAT,SAT dry-run,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10198,Layout approval,Facilities,Facilities Eng,2025-11-13,2025-11-16,,In Progress,Install,,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10199,Civil/anchoring check,Facilities,Controls Eng,2025-11-16,2025-11-19,2025-11-17,Done,Install,Layout approval,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10200,Power drop install,Facilities,IT/Network,2025-11-19,2025-11-21,2025-11-19,Done,Install,Layout approval,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10201,Network VLAN approved,IT/Network,Supplier Mgmt,2025-11-22,2025-12-01,2025-12-01,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10202,Exhaust hookup,Facilities,IT/Network,2025-11-25,2025-11-28,2025-11-30,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10203,CDA hookup,Facilities,IT/Network,2025-11-28,2025-12-05,2025-12-09,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10204,DI water hookup,Facilities,Controls Eng,2025-12-01,2025-12-06,2025-12-10,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10205,Tool delivered to dock,SupplyChain,IT/Network,2025-12-04,2025-12-06,2025-12-13,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10206,Rigging scheduled,SupplyChain,Controls Eng,2025-12-07,2025-12-12,,In Progress,Install,Tool delivered to dock,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10207,Install tool in bay,Hardware,EHS,2025-12-10,2025-12-12,2025-12-18,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10208,EHS walkdown,EHS,Mech Eng,2025-12-13,2025-12-24,,In Progress,Install,Install tool in bay,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10209,PLC flash + config,Controls,Supplier Mgmt,2025-12-16,2025-12-23,2025-12-23,Done,PowerOn,"Install tool in bay,Network VLAN approved",High,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10210,IO checkout,Controls,EHS,2025-12-19,2025-12-24,2025-12-21,Done,PowerOn,PLC flash + config,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10211,Safety interlock validation,Controls,EHS,2025-12-22,2025-12-31,2026-01-07,Done,PowerOn,IO checkout,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10212,Dry run cycle,Controls,Facilities Eng,2025-12-25,2025-12-27,,In Progress,Comm,Safety interlock validation,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10213,Process baseline run,Hardware,Controls Eng,2025-12-28,2026-01-01,2026-01-04,Done,Comm,Dry run cycle,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10214,SAT dry-run,Hardware,Mech Eng,2025-12-31,2026-01-07,2026-01-14,Done,SAT,"Process baseline run,EHS walkdown",High,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-02,FT-10215,SAT acceptance,Hardware,IT/Network,2026-01-03,2026-01-10,,In Progress,SAT,SAT dry-run,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10216,Layout approval,Facilities,IT/Network,2025-10-09,2025-10-20,2025-10-27,Done,Install,,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10217,Civil/anchoring check,Facilities,Mech Eng,2025-10-12,2025-10-16,2025-10-13,Done,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10218,Power drop install,Facilities,EHS,2025-10-15,2025-10-19,2025-10-21,Done,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10219,Network VLAN approved,IT/Network,Controls Eng,2025-10-18,2025-10-28,2025-10-31,Done,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10220,Exhaust hookup,Facilities,Mech Eng,2025-10-21,2025-10-27,,In Progress,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10221,CDA hookup,Facilities,Supplier Mgmt,2025-10-24,2025-10-30,2025-11-01,Done,Install,Layout approval,High,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10222,DI water hookup,Facilities,EHS,2025-10-27,2025-10-30,,In Progress,Install,Layout approval,Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10223,Tool delivered to dock,SupplyChain,Mech Eng,2025-10-30,2025-11-03,2025-11-10,Done,Install,Layout approval,High,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10224,Rigging scheduled,SupplyChain,Controls Eng,2025-11-02,2025-11-07,,In Progress,Install,Tool delivered to dock,Low,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10225,Install tool in bay,Hardware,Supplier Mgmt,2025-11-05,2025-11-07,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10226,EHS walkdown,EHS,Supplier Mgmt,2025-11-08,2025-11-13,2025-11-16,Done,Install,Install tool in bay,Low,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10227,PLC flash + config,Controls,Mech Eng,2025-11-11,2025-11-16,2025-11-13,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10228,IO checkout,Controls,Mech Eng,2025-11-14,2025-11-25,2025-11-30,Done,PowerOn,PLC flash + config,Low,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10229,Safety interlock validation,Controls,Facilities Eng,2025-11-17,2025-11-28,,In Progress,PowerOn,IO checkout,Low,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10230,Dry run cycle,Controls,EHS,2025-11-20,2025-11-30,,In Progress,Comm,Safety interlock validation,Low,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10231,Process baseline run,Hardware,Controls Eng,2025-11-23,2025-11-30,2025-12-07,Done,Comm,Dry run cycle,High,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10232,SAT dry-run,Hardware,EHS,2025-11-26,2025-12-05,2025-12-07,Done,SAT,"Process baseline run,EHS walkdown",High,
Orion-Ramp,Austin,Bay-5,T-OR-03,FT-10233,SAT acceptance,Hardware,Supplier Mgmt,2025-11-29,2025-12-02,,In Progress,SAT,SAT dry-run,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10234,Layout approval,Facilities,Controls Eng,2025-09-10,2025-09-20,2025-09-18,Done,Install,,Medium,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10235,Civil/anchoring check,Facilities,Mech Eng,2025-09-13,2025-09-22,2025-09-19,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10236,Power drop install,Facilities,IT/Network,2025-09-16,2025-09-26,,In Progress,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10237,Network VLAN approved,IT/Network,Supplier Mgmt,2025-09-19,2025-09-25,2025-10-01,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10238,Exhaust hookup,Facilities,Controls Eng,2025-09-22,2025-09-28,2025-10-04,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10239,CDA hookup,Facilities,Controls Eng,2025-09-25,2025-09-29,2025-09-27,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10240,DI water hookup,Facilities,Facilities Eng,2025-09-28,2025-10-04,2025-10-02,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10241,Tool delivered to dock,SupplyChain,IT/Network,2025-10-01,2025-10-05,2025-10-10,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10242,Rigging scheduled,SupplyChain,Facilities Eng,2025-10-04,2025-10-08,2025-10-12,Done,Install,Tool delivered to dock,High,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10243,Install tool in bay,Hardware,Controls Eng,2025-10-07,2025-10-14,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",High,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10244,EHS walkdown,EHS,IT/Network,2025-10-10,2025-10-15,2025-10-18,Done,Install,Install tool in bay,High,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10245,PLC flash + config,Controls,Facilities Eng,2025-10-13,2025-10-19,2025-10-21,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10246,IO checkout,Controls,Mech Eng,2025-10-16,2025-10-22,,In Progress,PowerOn,PLC flash + config,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10247,Safety interlock validation,Controls,Facilities Eng,2025-10-19,2025-10-26,2025-11-01,Done,PowerOn,IO checkout,Medium,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10248,Dry run cycle,Controls,Controls Eng,2025-10-22,2025-11-02,,In Progress,Comm,Safety interlock validation,High,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10249,Process baseline run,Hardware,Mech Eng,2025-10-25,2025-10-31,,Blocked,Comm,Dry run cycle,Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10250,SAT dry-run,Hardware,IT/Network,2025-10-28,2025-11-06,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
Orion-Ramp,Fremont,Bay-2,T-OR-04,FT-10251,SAT acceptance,Hardware,Mech Eng,2025-10-31,2025-11-06,,Blocked,SAT,SAT dry-run,Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10252,Layout approval,Facilities,EHS,2025-11-17,2025-11-19,,In Progress,Install,,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10253,Civil/anchoring check,Facilities,IT/Network,2025-11-20,2025-11-25,2025-11-29,Done,Install,Layout approval,Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10254,Power drop install,Facilities,EHS,2025-11-23,2025-12-01,2025-12-07,Done,Install,Layout approval,Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10255,Network VLAN approved,IT/Network,Supplier Mgmt,2025-11-26,2025-12-06,2025-12-03,Done,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10256,Exhaust hookup,Facilities,Mech Eng,2025-11-29,2025-12-02,2025-11-29,Done,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10257,CDA hookup,Facilities,EHS,2025-12-02,2025-12-09,2025-12-16,Done,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10258,DI water hookup,Facilities,Controls Eng,2025-12-05,2025-12-12,,In Progress,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10259,Tool delivered to dock,SupplyChain,Supplier Mgmt,2025-12-08,2025-12-12,2025-12-09,Done,Install,Layout approval,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10260,Rigging scheduled,SupplyChain,IT/Network,2025-12-11,2025-12-15,,In Progress,Install,Tool delivered to dock,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10261,Install tool in bay,Hardware,Mech Eng,2025-12-14,2025-12-25,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",High,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10262,EHS walkdown,EHS,Controls Eng,2025-12-17,2025-12-23,2025-12-23,Done,Install,Install tool in bay,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10263,PLC flash + config,Controls,Mech Eng,2025-12-20,2025-12-28,,Blocked,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10264,IO checkout,Controls,EHS,2025-12-23,2025-12-26,,In Progress,PowerOn,PLC flash + config,Medium,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10265,Safety interlock validation,Controls,IT/Network,2025-12-26,2026-01-02,2026-01-03,Done,PowerOn,IO checkout,Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10266,Dry run cycle,Controls,IT/Network,2025-12-29,2026-01-04,,Blocked,Comm,Safety interlock validation,Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10267,Process baseline run,Hardware,Controls Eng,2026-01-01,2026-01-11,,Blocked,Comm,Dry run cycle,Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10268,SAT dry-run,Hardware,EHS,2026-01-04,2026-01-09,2026-01-09,Done,SAT,"Process baseline run,EHS walkdown",Low,
Orion-Ramp,Hillsboro,Bay-7,T-OR-05,FT-10269,SAT acceptance,Hardware,Controls Eng,2026-01-07,2026-01-12,2026-01-09,Done,SAT,SAT dry-run,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10270,Layout approval,Facilities,Facilities Eng,2025-10-26,2025-11-05,2025-11-06,Done,Install,,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10271,Civil/anchoring check,Facilities,Controls Eng,2025-10-29,2025-11-02,2025-10-30,Done,Install,Layout approval,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10272,Power drop install,Facilities,Mech Eng,2025-11-01,2025-11-07,2025-11-09,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10273,Network VLAN approved,IT/Network,Facilities Eng,2025-11-04,2025-11-13,2025-11-14,Done,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10274,Exhaust hookup,Facilities,Supplier Mgmt,2025-11-07,2025-11-10,,In Progress,Install,Layout approval,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10275,CDA hookup,Facilities,Supplier Mgmt,2025-11-10,2025-11-19,2025-11-23,Done,Install,Layout approval,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10276,DI water hookup,Facilities,Supplier Mgmt,2025-11-13,2025-11-17,2025-11-21,Done,Install,Layout approval,High,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10277,Tool delivered to dock,SupplyChain,Facilities Eng,2025-11-16,2025-11-27,,In Progress,Install,Layout approval,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10278,Rigging scheduled,SupplyChain,EHS,2025-11-19,2025-11-25,2025-12-01,Done,Install,Tool delivered to dock,High,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10279,Install tool in bay,Hardware,EHS,2025-11-22,2025-11-29,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10280,EHS walkdown,EHS,EHS,2025-11-25,2025-12-01,,In Progress,Install,Install tool in bay,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10281,PLC flash + config,Controls,Supplier Mgmt,2025-11-28,2025-12-07,2025-12-08,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10282,IO checkout,Controls,EHS,2025-12-01,2025-12-10,,Blocked,PowerOn,PLC flash + config,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10283,Safety interlock validation,Controls,Facilities Eng,2025-12-04,2025-12-12,2025-12-09,Done,PowerOn,IO checkout,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10284,Dry run cycle,Controls,IT/Network,2025-12-07,2025-12-14,,Blocked,Comm,Safety interlock validation,Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10285,Process baseline run,Hardware,EHS,2025-12-10,2025-12-19,2025-12-22,Done,Comm,Dry run cycle,Medium,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10286,SAT dry-run,Hardware,EHS,2025-12-13,2025-12-22,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
Orion-Ramp,SCC-Lab,Bay-8,T-OR-06,FT-10287,SAT acceptance,Hardware,Controls Eng,2025-12-16,2025-12-20,2025-12-27,Done,SAT,SAT dry-run,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10288,Layout approval,Facilities,Controls Eng,2025-10-25,2025-11-02,2025-11-04,Done,Install,,Medium,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10289,Civil/anchoring check,Facilities,Facilities Eng,2025-10-28,2025-11-06,2025-11-03,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10290,Power drop install,Facilities,Supplier Mgmt,2025-10-31,2025-11-07,2025-11-06,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10291,Network VLAN approved,IT/Network,Mech Eng,2025-11-03,2025-11-12,2025-11-11,Done,Install,Layout approval,Medium,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10292,Exhaust hookup,Facilities,Facilities Eng,2025-11-06,2025-11-12,2025-11-11,Done,Install,Layout approval,Low,
Orion-Ramp,Fremont,Bay-6,T-OR-07,FT-10293,CDA hookup,Facilities,Facilities Eng,2025-11-09,2025-11-20,2025-11-17,Done,Install,Layout approval,Medium,
